"","container.title","published.print","doi","issue","title","volume"
"20","American Economic Journal: Applied Economics","2018-07","10.1257/app.20160257","3","Paying to Avoid Recession: Using Reenlistment to Estimate the Cost of Unemployment","10"
"21","American Economic Journal: Applied Economics","2018-07","10.1257/app.20160195","3","The Family Peer Effect on Mothers' Labor Supply","10"
"22","American Economic Journal: Applied Economics","2018-07","10.1257/app.20160066","3","Ethnolinguistic Favoritism in African Politics","10"
"23","American Economic Journal: Applied Economics","2018-07","10.1257/app.20170173","3","The Impacts of Industrial and Entrepreneurial Work on Income and Health: Experimental Evidence from Ethiopia","10"
"24","American Economic Journal: Applied Economics","2018-10","10.1257/app.20140499","4","Wealth Shocks and Health Outcomes: Evidence from Stock Market Fluctuations","10"
"25","American Economic Journal: Applied Economics","2016-07","10.1257/app.8.3.i","3","Front Matter","8"
"26","American Economic Journal: Applied Economics","2018-04","10.1257/app.10.2.i","2","Front Matter","10"
"27","American Economic Journal: Applied Economics","2016-10","10.1257/app.8.4.i","4","Front Matter","8"
"28","American Economic Journal: Applied Economics","2017-01","10.1257/app.9.1.i","1","Front Matter","9"
"29","American Economic Journal: Applied Economics","2017-04","10.1257/app.9.2.i","2","Front Matter","9"
"30","American Economic Journal: Applied Economics","2018-07","10.1257/app.20160429","3","The Neighborhood Impacts of Local Infrastructure Investment: Evidence from Urban Mexico","10"
"31","American Economic Journal: Applied Economics","2017-07","10.1257/app.9.3.i","3","Front Matter","9"
"32","American Economic Journal: Applied Economics","2016-01","10.1257/app.8.1.i","1","Front Matter","8"
"33","American Economic Journal: Applied Economics","2017-10","10.1257/app.9.4.i","4","Front Matter","9"
"34","American Economic Journal: Applied Economics","2018-07","10.1257/app.20160469","3","Incentivizing Safer Sexual Behavior: Evidence from a Lottery Experiment on HIV Prevention","10"
"35","American Economic Journal: Applied Economics","2019-01","10.1257/app.20170300","1","Early Childhood Education by Television: Lessons from Sesame Street","11"
"36","American Economic Journal: Applied Economics","2019-01","10.1257/app.11.1.i","1","Front Matter","11"
"37","American Economic Journal: Applied Economics","2019-01","10.1257/app.20160436","1","The Effect of Pollution on Worker Productivity: Evidence from Call Center Workers in China","11"
"38","American Economic Journal: Applied Economics","2019-01","10.1257/app.20170163","1","Job Search Periods for Welfare Applicants: Evidence from a Randomized Experiment","11"
"39","American Economic Journal: Applied Economics","2019-01","10.1257/app.20170328","1","The Welfare Effects of Nudges: A Case Study of Energy Use Social Comparisons","11"
"40","American Economic Journal: Applied Economics","2019-01","10.1257/app.20170286","1","Severe Air Pollution and Labor Productivity: Evidence from Industrial Towns in China","11"
"41","American Economic Journal: Applied Economics","2019-01","10.1257/app.20170670","1","Financial Incentives as Signals: Experimental Evidence from the Recruitment of Village Promoters in Uganda","11"
"42","American Economic Journal: Applied Economics","2019-01","10.1257/app.20150310","1","The Causal Effect of Competition on Prices and Quality: Evidence from a Field Experiment","11"
"43","American Economic Journal: Applied Economics","2019-01","10.1257/app.20170497","1","Labor Drops: Experimental Evidence on the Return to Additional Labor in Microenterprises","11"
"44","American Economic Journal: Applied Economics","2019-01","10.1257/app.20170249","1","Partners in Crime","11"
"45","American Economic Journal: Applied Economics","2018-07","10.1257/app.20160056","3","Life after Lead: Effects of Early Interventions for Children Exposed to Lead","10"
"46","American Economic Journal: Applied Economics","2018-10","10.1257/app.20160426","4","Modern Family? Paternity Leave and Marital Stability","10"
"47","American Economic Journal: Applied Economics","2018-07","10.1257/app.20170453","3","The Persistent Power of Behavioral Change: Long-Run Impacts of Temporary Savings Subsidies for the Poor","10"
"48","American Economic Journal: Applied Economics","2019-01","10.1257/app.20170543","1","Are Credit Markets Still Local? Evidence from Bank Branch Closings","11"
"49","American Economic Journal: Applied Economics","2018-07","10.1257/app.20160547","3","Saving by Default: Evidence from a Field Experiment in Rural India","10"
"50","American Economic Journal: Applied Economics","2019-01","10.1257/app.20170299","1","Understanding the Average Impact of Microcredit Expansions: A Bayesian Hierarchical Analysis of Seven Randomized Experiments","11"
"51","American Economic Journal: Economic Policy","2017-08","10.1257/pol.20150426","3","Tenure in Office and Public Procurement","9"
"52","American Economic Journal: Economic Policy","2018-02","10.1257/pol.20160038","1","Towards the Greater Good? EU Commissioners’ Nationality and Budget Allocation in the European Union","10"
"53","American Economic Journal: Economic Policy","2018-02","10.1257/pol.10.1.i","1","Front Matter","10"
"54","American Economic Journal: Economic Policy","2018-02","10.1257/pol.20150066","1","Cheating and Incentives: Learning from a Policy Experiment","10"
"55","American Economic Journal: Economic Policy","2018-02","10.1257/pol.20150523","1","Do Physicians Respond to the Costs and Cost-Sensitivity of Their Patients?","10"
"56","American Economic Journal: Economic Policy","2018-02","10.1257/pol.20140391","1","Do Restrictions on Home Equity Extraction Contribute to Lower Mortgage Defaults? Evidence from a Policy Discontinuity at the Texas Border","10"
"57","American Economic Journal: Economic Policy","2016-02","10.1257/pol.20130327","1","The Strategic Value of Carbon Tariffs","8"
"58","American Economic Journal: Economic Policy","2016-05","10.1257/pol.20140283","2","Assessing Financial Education: Evidence from Boot Camp","8"
"59","American Economic Journal: Economic Policy","2016-08","10.1257/pol.20140258","3","Can Electronic Procurement Improve Infrastructure Provision? Evidence from Public Works in India and Indonesia","8"
"60","American Economic Journal: Economic Policy","2017-11","10.1257/pol.20140383","4","Consumers' Response to State Energy Efficient Appliance Rebate Programs","9"
"61","American Economic Journal: Economic Policy","2017-02","10.1257/pol.20140254","1","Heterogeneity, Demand for Insurance, and Adverse Selection","9"
"62","American Economic Journal: Economic Policy","2019-02","10.1257/pol.20170499","1","The Out-of-State Tuition Distortion","11"
"63","American Economic Journal: Economic Policy","2019-02","10.1257/pol.20170466","1","The Long-Run Impacts of Financial Aid: Evidence from California’s Cal Grant","11"
"64","American Economic Journal: Economic Policy","2019-02","10.1257/pol.20150362","1","Best Prices: Price Discrimination and Consumer Substitution","11"
"65","American Economic Journal: Economic Policy","2019-02","10.1257/pol.11.1.i","1","Front Matter","11"
"66","American Economic Journal: Economic Policy","2019-02","10.1257/pol.20170504","1","Who Really Benefits from Consumption Tax Cuts? Evidence from a Large VAT Reform in France","11"
"67","American Economic Journal: Economic Policy","2019-02","10.1257/pol.20160373","1","Patchwork Policies, Spillovers, and the Search for Oil and Gas","11"
"68","American Economic Journal: Economic Policy","2019-02","10.1257/pol.20170067","1","Direct and Spillover Effects of Middle School Vaccination Requirements","11"
"69","American Economic Journal: Economic Policy","2019-02","10.1257/pol.20170151","1","Stimulating the Vote: ARRA Road Spending and Vote Share","11"
"70","American Economic Journal: Economic Policy","2019-02","10.1257/pol.20170329","1","Judicial Politics and Sentencing Decisions","11"
"71","American Economic Journal: Economic Policy","2019-02","10.1257/pol.20160600","1","An Estimable Model of Income Redistribution in a Federation: Musgrave Meets Oates","11"
"72","American Economic Journal: Economic Policy","2019-02","10.1257/pol.20170403","1","Effectiveness of Fiscal Incentives for R&D: Quasi-experimental Evidence","11"
"73","American Economic Journal: Economic Policy","2019-02","10.1257/pol.20130370","1","Does It Matter if Your Health Insurer Is For Profit? Effects of Ownership on Premiums, Insurance Coverage, and Medical Spending","11"
"74","American Economic Journal: Economic Policy","2019-02","10.1257/pol.20150421","1","Physician Beliefs and Patient Preferences: A New Look at Regional Variation in Health Care Spending","11"
"75","American Economic Journal: Economic Policy","2019-02","10.1257/pol.20170019","1","Are Consumers Poorly Informed about Fuel Economy? Evidence from Two Experiments","11"
"76","American Economic Journal: Economic Policy","2019-02","10.1257/pol.20140313","1","Liquidity Constraint Tightness and Consumer Responses to Fiscal Stimulus Policy","11"
"77","American Economic Journal: Economic Policy","2016-08","10.1257/pol.20140233","3","Tax Reforms and Intertemporal Shifting of Wage Income: Evidence from Danish Monthly Payroll Records","8"
"78","American Economic Journal: Economic Policy","2016-11","10.1257/pol.20140065","4","Workers' Spending Response to the 2011 Payroll Tax Cuts","8"
"79","American Economic Journal: Economic Policy","2017-08","10.1257/pol.20150029","3","Dishonesty and Selection into Public Service: Evidence from India","9"
"80","American Economic Journal: Economic Policy","2017-05","10.1257/pol.20160035","2","The Role of Government Reimbursement in Drug Shortages","9"
"81","American Economic Journal: Economic Policy","2017-05","10.1257/pol.20150271","2","Can Hiring Quotas Work? The Effect of the Nitaqat Program on the Saudi Private Sector","9"
"82","American Economic Journal: Economic Policy","2017-05","10.1257/pol.20150374","2","College on the Cheap: Consequences of Community College Tuition Reductions","9"
"83","American Economic Journal: Economic Policy","2017-05","10.1257/pol.20160027","2","The Economics of Rights: Does the Right to Counsel Increase Crime?","9"
"84","American Economic Journal: Economic Policy","2017-05","10.1257/pol.9.2.i","2","Front Matter","9"
"85","American Economic Journal: Economic Policy","2017-05","10.1257/pol.20150588","2","When Discounts Raise Costs: The Effect of Copay Coupons on Generic Utilization","9"
"86","American Economic Journal: Economic Policy","2017-05","10.1257/pol.20140371","2","Are State Governments Roadblocks to Federal Stimulus? Evidence on the Flypaper Effect of Highway Grants in the 2009 Recovery Act","9"
"87","American Economic Journal: Economic Policy","2017-05","10.1257/pol.20160060","2","Financial Incentives, Hospital Care, and Health Outcomes: Evidence from Fair Pricing Laws","9"
"88","American Economic Journal: Economic Policy","2016-02","10.1257/pol.20140074","1","The Vulnerability of Minority Homeowners in the Housing Boom and Bust","8"
"89","American Economic Journal: Economic Policy","2016-08","10.1257/pol.20130399","3","From Today's City to Tomorrow's City: An Empirical Investigation of Urban Land Assembly","8"
"90","American Economic Journal: Economic Policy","2017-11","10.1257/pol.20150290","4","Behavioral Responses to Wealth Taxes: Evidence from Sweden","9"
"91","American Economic Journal: Economic Policy","2017-11","10.1257/pol.20150249","4","Does Money Matter in the Long Run? Effects of School Spending on Educational Attainment","9"
"92","American Economic Journal: Economic Policy","2017-11","10.1257/pol.20140396","4","Fiscal Externalities and Optimal Unemployment Insurance","9"
"93","American Economic Journal: Economic Policy","2017-11","10.1257/pol.9.4.i","4","Front Matter","9"
"94","American Economic Journal: Economic Policy","2017-11","10.1257/pol.20150573","4","Causal Spousal Health Spillover Effects and Implications for Program Evaluation","9"
"95","American Economic Journal: Economic Policy","2017-11","10.1257/pol.20150079","4","Liquidity Constraints, Fiscal Externalities and Optimal Tuition Subsidies","9"
"96","American Economic Journal: Economic Policy","2017-11","10.1257/pol.20150145","4","Trade Agreements and Enforcement: Evidence from WTO Dispute Settlement","9"
"97","American Economic Journal: Economic Policy","2018-05","10.1257/pol.20150321","2","The Fall of Coal: Joint Impacts of Fuel Prices and Renewables on Generation and Emissions","10"
"98","American Economic Journal: Economic Policy","2016-08","10.1257/pol.8.3.i","3","Front Matter","8"
"99","American Economic Journal: Economic Policy","2018-05","10.1257/pol.10.2.i","2","Front Matter","10"
"100","American Economic Journal: Economic Policy","2018-05","10.1257/pol.20150131","2","Fiscal Centralization: Theory and Evidence from the Great Depression","10"
"101","American Economic Journal: Economic Policy","2018-05","10.1257/pol.20160514","2","Changing How Literacy Is Taught: Evidence on Synthetic Phonics","10"
"102","American Economic Journal: Economic Policy","2018-05","10.1257/pol.20160462","2","A Macroeconomic Approach to Optimal Unemployment Insurance: Applications","10"
"103","American Economic Journal: Economic Policy","2018-05","10.1257/pol.20150378","2","The Effect of Corporate Taxation on Investment and Financial Policy: Evidence from the DPAD","10"
"104","American Economic Journal: Economic Policy","2016-02","10.1257/pol.8.1.i","1","Front Matter","8"
"105","American Economic Journal: Economic Policy","2016-02","10.1257/pol.20140334","1","Leaving Poverty Behind? The Effects of Generous Income Support Paired with Activation","8"
"106","American Economic Journal: Economic Policy","2016-11","10.1257/pol.8.4.i","4","Front Matter","8"
"107","American Economic Journal: Economic Policy","2016-11","10.1257/pol.20140048","4","Do Health Care Providers Respond to Demand-Side Incentives? Evidence from Indonesia","8"
"108","American Economic Journal: Economic Policy","2016-11","10.1257/pol.20130351","4","Do Consumers Exploit Commitment Opportunities? Evidence from Natural Experiments Involving Liquor Consumption","8"
"109","American Economic Journal: Economic Policy","2016-11","10.1257/pol.20140193","4","Political Economy of Redistribution in the United States in the Aftermath of World War II—Evidence and Theory","8"
"110","American Economic Journal: Economic Policy","2016-11","10.1257/pol.20150150","4","Resource Constraints and the Criminal Justice System: Evidence from Judicial Vacancies","8"
"111","American Economic Journal: Economic Policy","2017-02","10.1257/pol.9.1.i","1","Front Matter","9"
"112","American Economic Journal: Economic Policy","2017-02","10.1257/pol.20140108","1","The Interest Rate Elasticity of Mortgage Demand: Evidence from Bunching at the Conforming Loan Limit","9"
"113","American Economic Journal: Economic Policy","2017-02","10.1257/pol.20130426","1","Understanding Consumption Behavior: Evidence from Consumers' Reaction to Shopping Vouchers","9"
"114","American Economic Journal: Economic Policy","2017-02","10.1257/pol.9.1.346","1","The Vulnerability of Minority Homeowners in the Housing Boom and Bust: Corrigendum","9"
"115","American Economic Journal: Economic Policy","2017-02","10.1257/pol.20150394","1","Gridlock: Ethnic Diversity in Government and the Provision of Public Goods","9"
"116","American Economic Journal: Economic Policy","2017-02","10.1257/pol.20150414","1","When Labor Disputes Bring Cities to a Standstill: The Impact of Public Transit Strikes on Traffic, Accidents, Air Pollution, and Health","9"
"117","American Economic Journal: Economic Policy","2018-02","10.1257/pol.20160229","1","Under the Radar: The Effects of Monitoring Firms on Tax Compliance","10"
"118","American Economic Journal: Economic Policy","2016-08","10.1257/pol.20130407","3","Transfer Pricing by Multinational Firms: New Evidence from Foreign Firm Ownerships","8"
"119","American Economic Journal: Economic Policy","2017-08","10.1257/pol.20140296","3","The Fiscal Cost of Hurricanes: Disaster Aid versus Social Insurance","9"
"120","American Economic Journal: Economic Policy","2018-11","10.1257/pol.20150116","4","From Selling Goods to Selling Services: Firm Responses to Trade Liberalization","10"
"121","American Economic Journal: Economic Policy","2016-02","10.1257/pol.20140293","1","Paying on the Margin for Medical Care: Evidence from Breast Cancer Treatments","8"
"122","American Economic Journal: Economic Policy","2018-02","10.1257/pol.20160132","1","Identifying the Harm of Manipulable School-Choice Mechanisms","10"
"123","American Economic Journal: Economic Policy","2018-08","10.1257/pol.20160078","3","Consumer Valuation of Fuel Costs and Tax Policy: Evidence from the European Car Market","10"
"124","American Economic Journal: Economic Policy","2017-08","10.1257/pol.20150551","3","Mafia in the Ballot Box","9"
"125","American Economic Journal: Economic Policy","2016-02","10.1257/pol.20140160","1","Physicians Treating Physicians: Information and Incentives in Childbirth","8"
"126","American Economic Journal: Economic Policy","2016-11","10.1257/pol.20140209","4","Nonparametric Evidence on the Effects of Financial Incentives on Retirement Decisions","8"
"127","American Economic Journal: Economic Policy","2017-08","10.1257/pol.20140093","3","High Frequency Evidence on the Demand for Gasoline","9"
"128","American Economic Journal: Economic Policy","2017-08","10.1257/pol.20150478","3","Police Officer on the Frontline or a Soldier? The Effect of Police Militarization on Crime","9"
"129","American Economic Journal: Economic Policy","2017-08","10.1257/pol.20150498","3","Affirmative Action Exemptions and Capacity Constrained Firms","9"
"130","American Economic Journal: Economic Policy","2017-08","10.1257/pol.20150402","3","The Effects of State Medicaid Expansions for Working-Age Adults on Senior Medicare Beneficiaries","9"
"131","American Economic Journal: Economic Policy","2017-08","10.1257/pol.9.3.i","3","Front Matter","9"
"132","American Economic Journal: Economic Policy","2018-02","10.1257/pol.20160093","1","Moral Suasion and Economic Incentives: Field Experimental Evidence from Energy Demand","10"
"133","American Economic Journal: Economic Policy","2017-02","10.1257/pol.20140404","1","Are Information Disclosures Effective? Evidence from the Credit Card Market","9"
"134","American Economic Journal: Economic Policy","2016-08","10.1257/pol.20150083","3","Extrinsic and Intrinsic Motivations for Tax Compliance: Evidence from a Field Experiment in Germany","8"
"135","American Economic Journal: Economic Policy","2016-05","10.1257/pol.8.2.i","2","Front Matter","8"
"136","American Economic Journal: Economic Policy","2016-11","10.1257/pol.20150004","4","How Do Providers Respond to Changes in Public Health Insurance Coverage? Evidence from Adult Medicaid Dental Benefits","8"
"137","American Economic Journal: Economic Policy","2018-08","10.1257/pol.20170108","3","Cash-Flow Taxes in an International Setting","10"
"138","American Economic Journal: Economic Policy","2017-02","10.1257/pol.20150074","1","Fighting Corruption in Education: What Works and Who Benefits?","9"
"139","American Economic Journal: Economic Policy","2017-02","10.1257/pol.20150124","1","Does It Pay to Know Prices in Health Care?","9"
"140","American Economic Journal: Economic Policy","2017-02","10.1257/pol.20130271","1","Eligibility Recertification and Dynamic Opt-In Incentives in Income-Tested Social Programs: Evidence from Medicaid/CHIP","9"
"141","American Economic Journal: Economic Policy","2018-02","10.1257/pol.20160068","1","The Consequences of Health Care Privatization: Evidence from Medicare Advantage Exits","10"
"142","American Economic Journal: Economic Policy","2018-08","10.1257/pol.20170211","3","Can Online Off-the-Shelf Lessons Improve Student Outcomes? Evidence from a Field Experiment","10"
"143","American Economic Journal: Economic Policy","2018-08","10.1257/pol.10.3.i","3","Front Matter","10"
"144","American Economic Journal: Economic Policy","2018-08","10.1257/pol.20170001","3","Multimarket Contact in the Hospital Industry","10"
"145","American Economic Journal: Economic Policy","2018-08","10.1257/pol.20170045","3","Does the Election of a Female Leader Clear the Way for More Women in Politics?","10"
"146","American Economic Journal: Economic Policy","2018-08","10.1257/pol.20160248","3","Strategic Formulary Design in Medicare Part D Plans","10"
"147","American Economic Journal: Economic Policy","2018-08","10.1257/pol.20160384","3","Trickle-Down Ethnic Politics: Drunk and Absent in the Kenya Police Force (1957–1970)","10"
"148","American Economic Journal: Economic Policy","2018-08","10.1257/pol.20150262","3","Does Managed Care Widen Infant Health Disparities? Evidence from Texas Medicaid","10"
"149","American Economic Journal: Economic Policy","2018-08","10.1257/pol.20160605","3","The Role of Information in Disability Insurance Application: An Analysis of the Social Security Statement Phase-In","10"
"150","American Economic Journal: Economic Policy","2018-08","10.1257/pol.20150154","3","The Effect of Public Pension Wealth on Saving and Expenditure","10"
"151","American Economic Journal: Economic Policy","2017-02","10.1257/pol.20150320","1","Housing Supply Elasticity and Rent Extraction by State and Local Governments","9"
"152","American Economic Journal: Economic Policy","2018-11","10.1257/pol.20140016","4","The Decline, Rebound, and Further Rise in SNAP Enrollment: Disentangling Business Cycle Fluctuations and Policy Changes","10"
"153","American Economic Journal: Economic Policy","2018-11","10.1257/pol.20170214","4","How Punishment Severity Affects Jury Verdicts: Evidence from Two Natural Experiments","10"
"154","American Economic Journal: Economic Policy","2018-11","10.1257/pol.20140483","4","Taxes and US Oil Production: Evidence from California and the Windfall Profit Tax","10"
"155","American Economic Journal: Economic Policy","2018-11","10.1257/pol.20160365","4","Fleeing a Lame Duck: Policy Uncertainty and Manufacturing Investment in US States","10"
"156","American Economic Journal: Economic Policy","2018-11","10.1257/pol.20160508","4","The Welfare Impact of Second-Best Uniform-Pigouvian Taxation: Evidence from Transportation","10"
"157","American Economic Journal: Economic Policy","2018-11","10.1257/pol.10.4.i","4","Front Matter","10"
"158","American Economic Journal: Economic Policy","2018-11","10.1257/pol.20150297","4","A Dynamic Model of Housing Supply","10"
"159","American Economic Journal: Economic Policy","2018-11","10.1257/pol.20140204","4","How Initial Conditions Can Have Permanent Effects: The Case of the Affordable Care Act","10"
"160","American Economic Journal: Economic Policy","2016-11","10.1257/pol.20130358","4","The Behavioralist Goes to School: Leveraging Behavioral Economics to Improve Educational Performance","8"
"161","American Economic Journal: Economic Policy","2017-08","10.1257/pol.20160039","3","How Much Can Expanding Access to Long-Acting Reversible Contraceptives Reduce Teen Birth Rates?","9"
"162","American Economic Journal: Economic Policy","2016-08","10.1257/pol.20150085","3","Particulate Pollution and the Productivity of Pear Packers","8"
"163","American Economic Journal: Economic Policy","2017-11","10.1257/pol.20130429","4","Consumption Responses to Temporary Tax Incentives: Evidence from State Sales Tax Holidays","9"
"164","American Economic Journal: Economic Policy","2017-11","10.1257/pol.20150007","4","Payment Size, Negative Equity, and Mortgage Default","9"
"165","American Economic Journal: Economic Policy","2017-08","10.1257/pol.20150525","3","Peacekeeping Force: Effects of Providing Tactical Equipment to Local Law Enforcement","9"
"166","American Economic Journal: Economic Policy","2018-11","10.1257/pol.20160395","4","The Persistent Effects of Place-Based Policy: Evidence from the West-German Zonenrandgebiet","10"
"167","American Economic Journal: Economic Policy","2016-02","10.1257/pol.20130315","1","Extended Unemployment Benefits and Early Retirement: Program Complementarity and Program Substitution","8"
"168","American Economic Journal: Economic Policy","2017-08","10.1257/pol.20160014","3","The Effect of Disability Insurance Payments on Beneficiaries' Earnings","9"
"169","American Economic Journal: Economic Policy","2018-02","10.1257/pol.20150369","1","Paternalism against Veblen: Optimal Taxation and Non-respected Preferences for Social Comparisons","10"
"170","American Economic Journal: Economic Policy","2018-05","10.1257/pol.20150088","2","A Macroeconomic Approach to Optimal Unemployment Insurance: Theory","10"
"171","American Economic Journal: Economic Policy","2017-11","10.1257/pol.20150299","4","Street Prostitution Zones and Crime","9"
"172","American Economic Journal: Economic Policy","2018-02","10.1257/pol.20150410","1","The Effect of Export Promotion on Firm-Level Performance","10"
"173","American Economic Journal: Economic Policy","2016-08","10.1257/pol.20150050","3","Property Taxation, Zoning, and Efficiency in a Dynamic Tiebout Model","8"
"174","American Economic Journal: Economic Policy","2016-08","10.1257/pol.20120298","3","Health Insurance Mandates, Mammography, and Breast Cancer Diagnoses","8"
"175","American Economic Journal: Economic Policy","2018-11","10.1257/pol.20150261","4","Can Small Incentives Have Large Effects? The Impact of Taxes versus Bonuses on Disposable Bag Use","10"
"176","American Economic Journal: Economic Policy","2018-08","10.1257/pol.20170046","3","Projections and Uncertainties about Climate Change in an Era of Minimal Climate Policies","10"
"177","American Economic Journal: Economic Policy","2017-11","10.1257/pol.20150293","4","Beggar-Thy-Neighbor Effects of Exchange Rates: A Study of the Renminbi","9"
"178","American Economic Journal: Economic Policy","2018-08","10.1257/pol.20170012","3","The Impact of Financial Education on Adolescents’ Intertemporal Choices","10"
"179","American Economic Journal: Economic Policy","2017-11","10.1257/pol.20150578","4","Trade Shocks and the Provision of Local Public Goods","9"
"180","American Economic Journal: Economic Policy","2017-05","10.1257/pol.20150100","2","Illegal Immigration, State Law, and Deterrence","9"
"181","American Economic Journal: Economic Policy","2016-02","10.1257/pol.20140211","1","A Contribution to the Empirics of Reservation Wages","8"
"182","American Economic Journal: Economic Policy","2018-05","10.1257/pol.20150437","2","Selection and Market Reallocation: Productivity Gains from Multinational Production","10"
"183","American Economic Journal: Economic Policy","2017-11","10.1257/pol.20150486","4","The Persistent Reduction in Poverty from Filing a Tax Return","9"
"184","American Economic Journal: Economic Policy","2017-05","10.1257/pol.20150237","2","Strategic Policy Choice in State-Level Regulation: The EPA's Clean Power Plan","9"
"185","American Economic Journal: Economic Policy","2016-05","10.1257/pol.20120393","2","Capacity and Utilization in Health Care: The Effect of Empty Beds on Neonatal Intensive Care Admission","8"
"186","American Economic Journal: Economic Policy","2017-05","10.1257/pol.20150511","2","Manipulation of Procurement Contracts: Evidence from the Introduction of Discretionary Thresholds","9"
"187","American Economic Journal: Economic Policy","2017-08","10.1257/pol.20150388","3","Inferring Carbon Abatement Costs in Electricity Markets: A Revealed Preference Approach Using the Shale Revolution","9"
"188","American Economic Journal: Economic Policy","2018-11","10.1257/pol.20160240","4","Discounting Disentangled","10"
"189","American Economic Journal: Economic Policy","2016-05","10.1257/pol.20140011","2","General Equilibrium Impacts of a Federal Clean Energy Standard","8"
"190","American Economic Journal: Economic Policy","2016-05","10.1257/pol.20140271","2","Does Tax-Collection Invariance Hold? Evasion and the Pass-Through of State Diesel Taxes","8"
"191","American Economic Journal: Economic Policy","2016-11","10.1257/pol.20150168","4","Trade Costs, CO2, and the Environment","8"
"192","American Economic Journal: Economic Policy","2016-02","10.1257/pol.20140008","1","Up in Smoke: The Influence of Household Behavior on the Long-Run Impact of Improved Cooking Stoves","8"
"193","American Economic Journal: Economic Policy","2016-05","10.1257/pol.20140224","2","Why Is Infant Mortality Higher in the United States than in Europe?","8"
"194","American Economic Journal: Economic Policy","2017-08","10.1257/pol.20150495","3","Profit with Purpose? A Theory of Social Enterprise","9"
"195","American Economic Journal: Economic Policy","2017-05","10.1257/pol.20150059","2","The Effect of Public Insurance Coverage for Childless Adults on Labor Supply","9"
"196","American Economic Journal: Economic Policy","2016-02","10.1257/pol.20140062","1","Of Mice and Academics: Examining the Effect of Openness on Innovation","8"
"197","American Economic Journal: Economic Policy","2017-08","10.1257/pol.20140273","3","Household Finance after a Natural Disaster: The Case of Hurricane Katrina","9"
"198","American Economic Journal: Economic Policy","2017-11","10.1257/pol.20150235","4","Power to Choose? An Analysis of Consumer Inertia in the Residential Electricity Market","9"
"199","American Economic Journal: Economic Policy","2016-05","10.1257/pol.20140215","2","Friendship at Work: Can Peer Effects Catalyze Female Entrepreneurship?","8"
"200","American Economic Journal: Economic Policy","2016-05","10.1257/pol.20140188","2","Corruption in Procurement and the Political Cycle in Tunneling: Evidence from Financial Transactions Data","8"
"201","American Economic Journal: Economic Policy","2018-08","10.1257/pol.20160355","3","Private Provision of Social Insurance: Drug-Specific Price Elasticities and Cost Sharing in Medicare Part D","10"
"202","American Economic Journal: Economic Policy","2016-05","10.1257/pol.20130371","2","The Impact of Insurance Provision on Household Production and Financial Decisions","8"
"203","American Economic Journal: Economic Policy","2018-08","10.1257/pol.20160570","3","A Letter and Encouragement: Does Information Increase Postsecondary Enrollment of UI Recipients?","10"
"204","American Economic Journal: Economic Policy","2016-08","10.1257/pol.20150045","3","The Effects of the Massachusetts Health Reform on Household Financial Distress","8"
